Период;Контрагент;ТМ;Количество;Стоимость;Валовый Доход;Тип
2022-11-08;ИМ;Thomas Munz;108.0;482800.0;294783.4;Прогноз
2022-11-08;ИМ;ПТМ;10.0;61837.0;33613.79;Прогноз
2022-11-08;Ламода;Salamander;187.0;1516334.0;1049269.89;Прогноз
2022-11-08;Ламода;Thomas Munz;925.0;4578941.0;2954501.88;Прогноз
2022-11-08;Ламода;ПТМ;77.0;547110.0;338957.32;Прогноз
2022-11-08;ОЗОН;Salamander;0.0;500.0;187.81;Прогноз
2022-11-08;ОЗОН;Thomas Munz;107.0;405193.0;245788.16;Прогноз
2022-11-09;Вайлдберриз;Salamander;66.0;582529.2;426111.49;Прогноз
2022-11-09;Вайлдберриз;Thomas Munz;545.0;2258006.02;1440023.89;Прогноз
2022-11-09;ИМ;Salamander;10.0;76801.0;55854.57;Прогноз
2022-11-09;ИМ;Thomas Munz;181.0;928793.0;583630.53;Прогноз
2022-11-09;ИМ;ПТМ;16.0;101112.0;57172.27;Прогноз
2022-11-09;Ламода;Salamander;206.0;1670756.0;1165022.83;Прогноз
2022-11-09;Ламода;Thomas Munz;950.0;4540912.0;2932148.2100000004;Прогноз
2022-11-09;Ламода;ПТМ;74.0;529080.0;325309.83;Прогноз
2022-11-09;ОЗОН;Salamander;5.0;28450.0;18556.37;Прогноз
2022-11-09;ОЗОН;Thomas Munz;131.0;526468.0;320479.42;Прогноз
2022-11-10;Вайлдберриз;Salamander;68.0;592323.4;426788.88;Прогноз
2022-11-10;Вайлдберриз;Thomas Munz;501.0;1930069.15;1205716.52;Прогноз
2022-11-10;ИМ;Salamander;8.0;61810.0;42578.96;Прогноз
2022-11-10;ИМ;Thomas Munz;83.0;419272.0;259397.8;Прогноз
2022-11-10;ИМ;ПТМ;8.0;49362.0;25798.07;Прогноз
2022-11-10;Ламода;Salamander;214.0;1738604.0;1211900.57;Прогноз
2022-11-10;Ламода;Thomas Munz;951.0;4594269.0;2981838.09;Прогноз
2022-11-10;Ламода;ПТМ;93.0;648030.0;397723.68;Прогноз
2022-11-10;ОЗОН;Salamander;0.0;0.0;62.1;Прогноз
2022-11-10;ОЗОН;Thomas Munz;133.0;556858.0;331178.16000000003;Прогноз
2022-11-11;Вайлдберриз;Salamander;68.0;533129.0;374038.79;Прогноз
2022-11-11;Вайлдберриз;Thomas Munz;448.0;1691705.2400000002;1030673.14;Прогноз
2022-11-11;ИМ;Salamander;9.0;72425.0;50556.93;Прогноз
2022-11-11;ИМ;Thomas Munz;125.0;576989.5;345225.83;Прогноз
2022-11-11;ИМ;ПТМ;11.0;71017.5;39212.61;Прогноз
2022-11-11;Ламода;Salamander;166.0;1314556.0;916193.4;Прогноз
2022-11-11;Ламода;Thomas Munz;1022.0;5001930.0;3230258.87;Прогноз
2022-11-11;Ламода;ПТМ;93.0;664170.0;405772.38;Прогноз
2022-11-11;ОЗОН;Salamander;2.0;10480.0;6074.37;Прогноз
2022-11-11;ОЗОН;Thomas Munz;71.0;312265.0;192600.27;Прогноз
2022-11-12;Вайлдберриз;Salamander;80.0;582999.52;391376.53;Прогноз
2022-11-12;Вайлдберриз;Thomas Munz;667.0;2384756.83;1337998.48;Прогноз
2022-11-12;ИМ;Salamander;12.0;83842.0;53900.43;Прогноз
2022-11-12;ИМ;Thomas Munz;182.0;923744.0;571020.41;Прогноз
2022-11-12;ИМ;ПТМ;12.0;68340.0;36182.61;Прогноз
2022-11-12;Ламода;Salamander;246.0;1988776.0;1373655.93;Прогноз
2022-11-12;Ламода;Thomas Munz;1130.0;5496432.0;3577399.39;Прогноз
2022-11-12;Ламода;ПТМ;91.0;648950.0;399606.28;Прогноз
2022-11-12;ОЗОН;Salamander;3.0;18046.0;10468.77;Прогноз
2022-11-12;ОЗОН;Thomas Munz;122.0;475699.0;285311.34;Прогноз
2022-11-13;Вайлдберриз;Salamander;133.0;833523.6;527285.39;Прогноз
2022-11-13;Вайлдберриз;Thomas Munz;751.0;2424054.2800000003;1252564.6;Прогноз
2022-11-13;ИМ;Salamander;15.0;90850.0;54824.64;Прогноз
2022-11-13;ИМ;Thomas Munz;160.0;780873.0;481809.62;Прогноз
2022-11-13;ИМ;ПТМ;5.0;30052.0;17084.58;Прогноз
2022-11-13;Ламода;Salamander;220.0;1709516.0;1169330.16;Прогноз
2022-11-13;Ламода;Thomas Munz;1122.0;5441749.0;3527407.08;Прогноз
2022-11-13;Ламода;ПТМ;120.0;841133.0;520974.35;Прогноз
2022-11-13;ОЗОН;Salamander;9.0;56586.0;34146.88;Прогноз
2022-11-13;ОЗОН;Thomas Munz;224.0;865177.0;503459.44;Прогноз
2022-11-14;Вайлдберриз;Salamander;167.0;1347664.9;927203.54;Прогноз
2022-11-14;Вайлдберриз;Thomas Munz;1020.0;3679066.4;2144337.59;Прогноз
2022-11-14;ИМ;Salamander;19.0;113051.0;73087.66;Прогноз
2022-11-14;ИМ;Thomas Munz;173.0;774542.0;470877.7400000001;Прогноз
2022-11-14;ИМ;ПТМ;9.0;55501.0;30521.98;Прогноз
2022-11-14;Ламода;Salamander;240.0;1844623.0;1264201.23;Прогноз
2022-11-14;Ламода;Thomas Munz;954.0;4569008.0;2994883.56;Прогноз
2022-11-14;Ламода;ПТМ;99.0;712690.0;437947.17;Прогноз
2022-11-14;ОЗОН;Salamander;5.0;34999.0;22342.13;Прогноз
2022-11-14;ОЗОН;Thomas Munz;206.0;822628.0;475071.08;Прогноз
2022-11-15;Вайлдберриз;Salamander;163.0;1274324.1;893978.5;Прогноз
2022-11-15;Вайлдберриз;Thomas Munz;1141.0;4084629.24;2391385.37;Прогноз
2022-11-15;ИМ;Salamander;27.0;158946.0;99528.85;Прогноз
2022-11-15;ИМ;Thomas Munz;149.0;740946.0;451086.75;Прогноз
2022-11-15;ИМ;ПТМ;10.0;56814.0;28469.48;Прогноз
2022-11-15;Ламода;Salamander;255.0;1828586.0;1220553.86;Прогноз
2022-11-15;Ламода;Thomas Munz;1109.0;5305191.0;3467707.69;Прогноз
2022-11-15;Ламода;ПТМ;90.0;626220.0;384127.16;Прогноз
2022-11-15;ОЗОН;Salamander;7.0;32572.0;20672.46;Прогноз
2022-11-15;ОЗОН;Thomas Munz;162.0;642209.0;376840.48;Прогноз
2022-11-16;Вайлдберриз;Salamander;161.0;1274767.6;885063.89;Прогноз
2022-11-16;Вайлдберриз;Thomas Munz;972.0;3615175.21;2120252.83;Прогноз
2022-11-16;ИМ;Salamander;18.0;103526.0;67357.56;Прогноз
2022-11-16;ИМ;Thomas Munz;168.0;810417.0;493744.42;Прогноз
2022-11-16;ИМ;ПТМ;13.0;81931.0;44626.36;Прогноз
2022-11-16;Ламода;Salamander;261.0;1938698.0;1320283.44;Прогноз
2022-11-16;Ламода;Thomas Munz;1060.0;5185076.0;3399618.840000001;Прогноз
2022-11-16;Ламода;ПТМ;84.0;590420.0;362039.15;Прогноз
2022-11-16;ОЗОН;Salamander;9.0;59841.0;35323.82;Прогноз
2022-11-16;ОЗОН;Thomas Munz;199.0;770345.0;440384.25;Прогноз
2022-11-17;Вайлдберриз;Salamander;143.0;1130933.0;792944.94;Прогноз
2022-11-17;Вайлдберриз;Thomas Munz;796.0;3021201.77;1781075.53;Прогноз
2022-11-17;ИМ;Salamander;13.0;100672.0;68720.71;Прогноз
2022-11-17;ИМ;Thomas Munz;171.0;791557.0;492230.85;Прогноз
2022-11-17;ИМ;ПТМ;15.0;80223.0;45314.22;Прогноз
2022-11-17;Ламода;Salamander;252.0;1813600.0;1213144.19;Прогноз
2022-11-17;Ламода;Thomas Munz;953.0;4534077.0;2963271.41;Прогноз
2022-11-17;Ламода;ПТМ;75.0;532160.0;327791.12;Прогноз
2022-11-17;ОЗОН;Salamander;8.0;53508.0;32904.24;Прогноз
2022-11-17;ОЗОН;Thomas Munz;202.0;784324.0;449083.81;Прогноз
2022-11-18;Вайлдберриз;Salamander;;;;Прогноз
2022-11-18;Вайлдберриз;Thomas Munz;;;;Прогноз
2022-11-18;ИМ;Salamander;;;;Прогноз
2022-11-18;ИМ;Thomas Munz;;;;Прогноз
2022-11-18;ИМ;ПТМ;;;;Прогноз
2022-11-18;Ламода;Salamander;;;;Прогноз
2022-11-18;Ламода;Thomas Munz;;;;Прогноз
2022-11-18;Ламода;ПТМ;;;;Прогноз
2022-11-18;ОЗОН;Salamander;;;;Прогноз
2022-11-18;ОЗОН;Thomas Munz;;;;Прогноз
2022-11-19;Вайлдберриз;Salamander;;;;Прогноз
2022-11-19;Вайлдберриз;Thomas Munz;;;;Прогноз
2022-11-19;ИМ;Salamander;;;;Прогноз
2022-11-19;ИМ;Thomas Munz;;;;Прогноз
2022-11-19;ИМ;ПТМ;;;;Прогноз
2022-11-19;Ламода;Salamander;;;;Прогноз
2022-11-19;Ламода;Thomas Munz;;;;Прогноз
2022-11-19;Ламода;ПТМ;;;;Прогноз
2022-11-19;ОЗОН;Salamander;;;;Прогноз
2022-11-19;ОЗОН;Thomas Munz;;;;Прогноз
2022-11-20;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-20;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-20;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-20;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-20;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-20;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-20;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-20;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-20;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-20;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-21;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-21;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
2022-11-21;ИМ;Salamander;13.117647058823529;91258.76470588235;61153.92588235294;Прогноз
2022-11-21;ИМ;Thomas Munz;149.2941176470588;722419.0294117647;443965.7894117647;Прогноз
2022-11-21;ИМ;ПТМ;11.0;66182.08823529411;36120.114117647056;Прогноз
2022-11-21;Ламода;Salamander;191.64705882352942;1509475.4117647058;1038244.8805882352;Прогноз
2022-11-21;Ламода;Thomas Munz;947.4705882352941;4565199.94117647;2960998.322941176;Прогноз
2022-11-21;Ламода;ПТМ;90.52941176470588;633389.1176470588;388728.62411764706;Прогноз
2022-11-21;ОЗОН;Salamander;4.294117647058823;24998.41176470588;15408.16294117647;Прогноз
2022-11-21;ОЗОН;Thomas Munz;137.41176470588235;560736.5294117647;335630.6088235293;Прогноз
2022-11-22;Вайлдберриз;Salamander;104.11764705882354;856593.5776470589;606623.7688235295;Прогноз
2022-11-22;Вайлдберриз;Thomas Munz;703.8823529411765;2719101.3229411766;1659616.4964705885;Прогноз
